Województwo,Dzień,ID,Suma,Ludność,Wskaźnik,
Pomorskie,05.11,10,1141,2333523,489,
Kujawsko-Pomorskie,05.11,5,1663,2077775,800,
Podkarpackie,05.11,8,1553,2129015,729,
Lubelskie,05.11,14,805,2117619,380,
Zachodniopomorskie,05.11,3,866,1701030,509,
Świętokrzyskie,05.11,4,950,1241546,765,
Warmińsko-Mazurskie,05.11,11,795,1428983,556,
Opolskie,05.11,1,714,986506,724,
Podlaskie,05.11,6,902,1181533,763,
Lubuskie,05.11,15,578,1014548,570,
Śląskie,06.11,0,3942,4533565,870,
Mazowieckie,06.11,13,2951,5403412,546,
Małopolskie,06.11,9,2815,3400577,828,
Wielkopolskie,06.11,2,2063,3493969,590,
Dolnośląskie,06.11,7,2512,2901225,866,
Łódzkie,06.11,12,1593,2466322,646,
Pomorskie,06.11,10,1451,2333523,622,
Kujawsko-Pomorskie,06.11,5,1952,2077775,939,
Podkarpackie,06.11,8,1707,2129015,802,
Lubelskie,06.11,14,1542,2117619,728,
Zachodniopomorskie,06.11,3,903,1701030,531,
Świętokrzyskie,06.11,4,1013,1241546,816,
Warmińsko-Mazurskie,06.11,11,826,1428983,578,
Opolskie,06.11,1,739,986506,749,
Podlaskie,06.11,6,580,1181533,491,
Lubuskie,06.11,15,497,1014548,490,
Śląskie,07.11,0,4290,4533565,946,
Mazowieckie,07.11,13,2998,5403412,555,
Małopolskie,07.11,9,2450,3400577,720,
Wielkopolskie,07.11,2,2451,3493969,701,
Dolnośląskie,07.11,7,2045,2901225,705,
Łódzkie,07.11,12,1549,2466322,628,
Pomorskie,07.11,10,1671,2333523,716,
Kujawsko-Pomorskie,07.11,5,1809,2077775,871,
Podkarpackie,07.11,8,1946,2129015,914,
Lubelskie,07.11,14,1794,2117619,847,
Zachodniopomorskie,07.11,3,1072,1701030,630,
Świętokrzyskie,07.11,4,1231,1241546,992,
Warmińsko-Mazurskie,07.11,11,679,1428983,475,
Opolskie,07.11,1,765,986506,775,
Podlaskie,07.11,6,615,1181533,521,
Lubuskie,07.11,15,510,1014548,503,
Śląskie,08.11,0,4245,4533565,936,
Mazowieckie,08.11,13,2099,5403412,388,
Małopolskie,08.11,9,2806,3400577,825,
Wielkopolskie,08.11,2,1845,3493969,528,
Dolnośląskie,08.11,7,1799,2901225,620,
Łódzkie,08.11,12,1576,2466322,639,
Pomorskie,08.11,10,1335,2333523,572,
Kujawsko-Pomorskie,08.11,5,1439,2077775,693,
Podkarpackie,08.11,8,1822,2129015,856,
Lubelskie,08.11,14,1728,2117619,816,
Zachodniopomorskie,08.11,3,723,1701030,425,
Świętokrzyskie,08.11,4,429,1241546,346,
Warmińsko-Mazurskie,08.11,11,558,1428983,390,
Opolskie,08.11,1,858,986506,870,
Podlaskie,08.11,6,1053,1181533,891,
